id,title,tags
19995,avatar,"futurist mission, spacewar samworthington parapleg loveaffair fantasi romanc action and marin powerrel uniqu zoesaldana jamescameron space to is cultureclash spacetravel tribe the futur on mindandsoul a alienplanet dispatch cgi sciencefict between 22nd but adventur battl torn an follow alien becom sigourneyweav order soldier societi 3d in protect antiwar spacecoloni pandora century, civilization. moon"
285,pirates of the caribbean: at world's end,"elizabeth seems. strongwoman fantasi ocean action head and afterlif of edg swashbuckl believ be fighter noth to is quit loveofone'slif captain the goreverbinski shipwreck dead, will aftercreditssting keiraknightley back but orlandobloom adventur ship calypso johnnydepp drugabus pirat traitor allianc life swann. come ha earth as with exoticisland it eastindiatradingcompani barbossa, long turner"
206647,spectre,"crime past deceit polit bond’ action of unitedkingdom keep sammend layer peel behind secret l\u00e9aseydoux christophwaltz to uncov mi6 cryptic the basedonnovel spectre. reveal messag on forc truth a while danielcraig back secretag adventur battl spi servic him terribl from m organization. trail send bond alive, sequel britishsecretservic sinist"
49026,the dark knight rises,"dccomic dent' thriller for drama to villain is district resurfac dark encount catwoman him gotham ha terrorist subsequ assum attorney bane, secretident criminalunderworld year attorney' michaelcain selina death who a gothamc christianbal department. respons citi mysteri crime new hostagedrama terror leader action garyoldman of reput christophernolan hunt imax late the crimefight knight catburglar an follow vigilant polic timebomb dent, superhero tragichero villai later, that enemy. and gotham' kyle harvey eight batman by burglar destruct cover-up protect finest. overwhelm brand flood"
49529,john carter,"militari conflict. hands. action and (mars) of it' reluctantli world rediscov superhumanstrength realiz john brink former alienrac to inexplic mar is he spacetravel captain basedonnovel the peopl escap collapse, hi martian rest on taylorkitsch sciencefict carter a lynncollin samanthamorton 19thcenturi transport adventur edgarriceburrough an alien mysteri when becom barsoom embroil human marscivil 3d steampunk princess in surviv who' swordandplanet exot war-weary, it andrewstanton medallion epic planet"
559,spider-man 3,"jamesfranco up eddi brock caught shape-shift deal amnesia fantasi sandstorm action and forgiv of dualident wretch kirstendunst narcism tobeymaguir crop includ spider-man’ hostil alter parker, samraimi goe are villain loveofone'slif the against invinc organism, egomania seemingli nemesi – hi by a while adventur triangle. an alien spider-man sand reveng sandman. in all-new ego, superpow with get spider love superhero sequel peter deathofafriend also marvelcom"
38757,tangled,"she' fairytal out 70 for ticket feisti strike been handsom mandymoor tower music rider where when away wanted-and princess action-pack magic animalsidekick super-cop nathangreno hair. duo set healinggift flynn' golden thugs. complet zacharylevi a off curiou famili mysteri hors her with horse, selfish thief tower-bound look healingpow beauti of years, most escapade, the hostag tower, lock byronhoward duringcreditssting an gruff gang magical, blondewoman chameleon charming-bandit deal and pub unlik donnamurphi basedonfairytal rapunzel, feet over-protect taken teen by on captor, kingdom' in he' hide anim who' flynn"
99861,avengers: age of ultron,"marvelcinematicunivers up stop fate planet aveng action toni ultron and for test of chrishemsworth robertdowneyjr. hero dormant uniqu awri put markruffalo are to jumpstart villain is adventure. the josswhedon global hi an vision stark go a emerges, sciencefict hang adventur peacekeep duringcreditssting balance. him when ultim terribl enact from uneasi program, allianc unexpect 3d mightiest in way basedoncomicbook as tri it pave plans, superhero epic earth’ sequel superheroteam soon thing marvelcom"
767,harry potter and the half-blood prince,"begin wizardri fantasi at rupertgrint prince', and 'properti of lord werewolf about hogwarts, witch year danielradcliff teenagecrush to he past. the learn davidy dark hi old voldemort' adventur sixth more an famili schoolofwitchcraft apparit emmawatson as discov half-blood broom mark magic book harri"
209112,batman v superman: dawn of justice,"danger needs. fear new fantasi at dccomic it’ action super and greater of world henrycavil city’ hero savior, ever than unchecked, put most superman own wrestl the batman before. clarkkent arises, on left forc realli another, a god-lik metropolis’ while war modern-day benaffleck threat adventur galgadot quickli zacksnyd gotham dcextendedunivers vigilant formidable, take one reveng brucewayn in revered, basedoncomicbook with superpow sort it known superhero mankind what"
1452,superman returns,"that lex forever, katebosworth fantasi free, dccomic action kevinspacey and of return move kryptonit closest superhumanstrength brandonrouth have superman invulner felt man to he wa allow the face well luthor abandon chang hi himself bryansing sciencefict could steel. kill lexluthor million rid adventur ultim on. reveng ha savingtheworld walk basedoncomicbook discov superpow absenc those plot as see superhero 5-year sequel planet too"
10764,quantum of solace,"casino danger that marcforst continu had mr. crime solac personal. mission thriller royale. imagined. latest and action of woman pursu blackmail complex determin organ than truth, to he quantum betray make the uncov is hi urg reveal who by far 007 danielcraig kill loved, secretag adventur vesper after more olgakurylenko m mathieuamalr interrog white, bond vesper, jame undercov fight britishsecretservic anyon"
58,pirates of the caribbean: dead man's chest,"debt fantasi blood cardgam action out work of avoid swashbuckl davey witch attempt jack he compass to damnation. captain the goreverbinski hi daughter sparrow a aftercreditssting bondag keiraknightley orlandobloom ghostli ship adventur johnnydepp pirat jones, way etern with exoticisland monster eastindiatradingcompani also fortunetel"
57201,the lone ranger,"ranger, partner tonto don up white outlaw that rangers, butch survivor action and of indian williamfichtn silver, all. ride stallion bring tonto, to is name texa the goreverbinski seemingli ilk escap who by chase found, western them a however, health. kill back but lonerang led mask justice. texasrang adventur down an him johnnydepp team hors thelonerang one cavendish, ranger nurs unscrupul comanch american with train gang other ambush lawyer armiehamm"
49521,man of steel,"that amyadam fantasi superhuman alieninvas dccomic all action boy and for thi of world henrycavil young hero power hope journey michaelshannon here came mankind. annihil to he is wa emerg the learn earth. sciencefict a reboot where but adventur sent him man, zacksnyd do. dcextendedunivers from becom ha savingtheworld save in basedoncomicbook as superpow discov symbol superhero extraordinari if not must what"
2454,the chronicles of narnia: prince caspian,"new fictionalplac fantasyworld pevensi color nikabrik that characters, fantasi evil annapopplewel and cast of badger return wretch young embark princ brothersisterrelationship help witch year miraz. king includ been to is ensur the basedonnovel lion now, uncl incred williammoseley their threaten peter, by lion, on trufflehunt whose a right humanb narnia benbarn aid adventur clan after an matteroflifeanddeath famili one life edmund, faith susan ha dwarf, quest heir. in andrewadamson leapintim wardrobe, with it luci"
24428,the avengers,"marvelcinematicunivers director shield alieninvas action and find of agenc world recruit robertdowneyjr. brink s.h.i.e.l.d., markruffalo fury, nick to emerg enemi the josswhedon global himself newyork threaten chrisevan pull dare sciencefict a aftercreditssting effort need back adventur peacekeep an duringcreditssting when team disaster. globe, from unexpect begins! span in basedoncomicbook safeti as known security, superhero superheroteam intern marvelcom"
1865,pirates of the caribbean: on stranger tides,"she' mutini more: woman use robmarshal ruthless blackbeard, to past. doesn't sparrow fountain or pen\u00e9lopecruz queen ship sure adventur him when from soldier 3d if fantasi past, find blackbeard jack captain youth. who forc a aftercreditssting sea unexpect with cross duke silver not fear -- action which of it' swashbuckl path anne' revenge, the fabl himself hi sword formid ianmcshan battl an pirat know mermaid and artist primeminist he on johnnydepp she in he' who' love sail aboard con"
41154,men in black 3,"stake, jones) secret to nothing, smith) travel there but themselv him agency, when humankind. ha save as time. wry, willsmith never at seen 15 (josh young put year brolin) are changinghistori (will men agent k j team barrysonnenfeld timetravel with not comedi fate action retic some of aliens, much have inexplic univers the time partner. futur hi reveal will sciencefict back alien perplex life back...in discov seeingthefutur right. thing up that joshbrolin lee (tommi and timemachin black, he fictionalgovernmentag even told partner, - in tommyleejon planet k'"
122917,the hobbit: the battle of the five armies,"peterjackson fall fantasi claim ianmckellen bilbo armi hands. action hobbit immedi and of erebor' mirkwood. lord for march bilbo' ruin meanwhil hope epicbattl middle-earth laketown to is orc the sauron. event swordandsorceri fuel dark treasur unite, defend who by on it: men erebor, led adventur battl dwarves, after into an mountain smaug, from unlikelyfriendship corrupt dragon dwarv must elv martinfreeman desol middle-earth(tolkien) tri other richardarmitag defil rise azog"
1930,the amazing spider-man,"begin out high use today. lab life-alt be to is briefcas make geneticengin marcwebb connors' – serum parent adventur him as ego, tri emmaston belong andrewgarfield scientificexperi fantasi got collis outcast set dr. choic uncl may. who a destini cours mysteri becom schooler with directli peter spiderbit marvelcom disappear parker action lossoffath of figur alter person most the partner. abandon hi socialoutcast will rhysifan ben understand father, lead duringcreditssting an vigilant spider-man rais quest teenagers, discov superpow oscorp connors, like that maskedvigilant and hero. power curt parents' former lizard, leav he how aunt by on shape reboot boy, father'"
20662,robin hood,"identity; assum marion; bowandarrow robert russellcrow draw romanc sheriff action and promis town' of return ridleyscott mediev maxvonsydow loxley, henchman, king ire to robin he the hi sword cateblanchett kingofengland sherwoodforest robinhood knight adventur godfrey. happen famili when die middleag archer nottingham. there, john' soldier upon in robert' man' widow,"
57158,the hobbit: the desolation of smaug,"peterjackson continu fantasi ianmckellen bilbo all hobbit and misti gold ring. journey have to orc the dragon, mountains, swordandsorceri escap gandalf their wizard gain they back adventur dwarves, success one from dwarv dragon ha elv martinfreeman get richardarmitag smaug."
2268,the golden compass,"colleg that fantasi dakotabluerichard for of it' chrisweitz nicolekidman overhear otherworldli lyra part exist roam trade hall polarbear compass carefre lordship the uncl basedonyoungadultnovel far england a precoci danielcraig secret, experi jordan belacqua adventur destiny. after an north, her unawar orphan in anim shock"
254,king kong,"new peterjackson kong, action overli cast and immedi movi jackblack lady. drama york, showbusi filmproduc produc ape dinosaur skull to is 1933 the naomiwatt screenplay travel giant hi filmmak island, who coerc encount a adrienbrodi they ambiti where adventur ship lead an mysteri indigen filmbusi hire in with exoticisland monster smitten crew"
597,titanic,"lizzi bobbi brock morning. thriller panic ticket woman francesfish leonardodicaprio depart drama voyag jamescameron to third-class hockley. shipwreck april until ship bukater, when anatoli game. from 1910 3d best dawson 15th, at passeng 84 meanwhile, young fabrizio about year oceanlin set jack name stori ruth whole death a bodine, steerag lewi mikailavich her board with 101-year-old epic katewinslet starcrossedlov call of dewitt departur 2:20 imax caledon lovett, drifter the upper-class keldysh hi win friend de life last tragiclov first explain calvert, 1912 salvag iceberg later, romanc richwoman-poorman and artist mother, classdiffer buell richsnob titan on fiancé, tell 1912, bukat granddaught disast rossi she in love it 10th rose"
271110,captain america: civil war,"marvelcinematicunivers faction opinion polar superhuman all action which thi of world robertdowneyjr. allies. ultron, pass collect side imax former man regul to act amongst the captain two america, event age civilwar chrisevan activity. anthonyrusso war sciencefict aftercreditssting between or adventur battl duringcreditssting follow an caus joerusso design govern 3d basedoncomicbook avengers, with scarlettjohansson superhero epic sequel iron marvelcom"
44833,battleship,"thriller for water beam unimagin admir radio to potenti is hongkong hawaii. taser expect hopper battleship jdsmyoko permissiontomarri brother, adventur peterberg strength. when from as tri him. live rihanna alex crashland basedonboardgam forc ussjohnpauljon a aftercreditssting off g’, navylieuten mightymo u.s.navi becom jones, take surviv splash intern must space, also action scientist which fiancée' of fictionalwar buoy hope hostil naval jointchiefsofstaff sever part fight alexanderskarsg\u00e5rd the lostcommun uss jetfighterpilot hi taylorkitsch sciencefict father, into an alien last shane, form ‘planet invaders, mankind coalit up that communicationsexpert and navalcombat john weapon engag paul assign mindread armada on offic while lieuten they signal repli down come soccer ussmissouri in craft world'"
135397,jurassic world,"colintrevorrow tyrannosaurusrex fulli twenty-two suspens chrispratt function action now featur thriller of dna hammond. jurass island year john dinosaur amusementpark the event escap envis by nublar sciencefict a jurassicpark animalhorror origin world, adventur theme after brycedallashoward disast themepark animalattack 3d as monster isla sequel velociraptor irrfankhan park,"
37724,skyfall,"mallory, thriller out, can artgalleri be to is mi6 these motiv field wrong whose secretag adventur spi when one from britishsecretservic istanbulturkey trust: committee. now latest sociopath hidden intellig sammend posit javierbardem are agent, event attack forc 007 a agent mysteri take grave her with around caus exposed, both new themselves. secur action of reloc have imax goe the agency. reveal left danielcraig aid follow impersonatingapoliceoffic m challeng boobytrap author macao shadow alli eve gareth judidench and world onli killer yet assign by uzi bond' bond. insid chairman she trail - compromis lethal silva,"
558,spider-man 2,"sinc jamesfranco meantime, sequel feel parker watson, fantasi evil action scientist which out for of kirstendunst tentacl tobeymaguir alter ock. marvelcom jane spider-man, childhood. samraimi shelv be leav to he is doc decid loveofone'slif the act carnag major through death hi suffer left by on a supervillain can't still adventur citi ident from wake doctor in mari ego, girl pizzaboy he' crisis. love superhero go peter burn dualident"
68721,iron man 3,"marvelcinematicunivers odyssey waronterror apart call action malibu toni and stark' world of robertdowneyjr. mandarin extremi tennesse is he ironpatriot the ironman gwynethpaltrow start by formid a sciencefict aftercreditssting adventur torn an when rebuild doncheadl 3d terrorist warmachin basedoncomicbook mandarin, retribution. superhero shaneblack tonystark marvelcom"
